"citizen_dr" "merch_dr" "peasants_dr"
"знать" 0.0489444317551473 0.0630087777745589 0.0608233561687688
"перед" 0.0228407348190688 0.0637330165995539 0.0832319610730521
"пелагея" 0 0.0869086589993916 0
"потом" 0.0130518484680393 0.072423882499493 0.0512196683526474
"какие" 0.091362939276275 0.052145195399635 0.0608233561687688
"мной" 0.0587333181061768 0.062284538949564 0.048018439080607
"мое" 0.035892583287108 0.042005851849706 0.160061463602023
"всю" 0.0685222044572062 0.0535936730496248 0.0704270439848902
"говори" 0.0261036969360786 0.0702511660245082 0.0384147512644856
"богу" 0.101151825627304 0.0434543294996958 0.0736282732569307
"дарья" 0.133781446797403 0 0.233689736858954
"зоя" 0.37197768133912 0 0
"свою" 0.0783110908082357 0.0441785683246907 0.0928356488891734
"гордеевна" 0 0.0818389872244271 0
"дела" 0.101151825627304 0.0572148671745995 0.00960368781612139
"ка" 0.035892583287108 0.0470755236246705 0.118445483065497
"нечего" 0.0587333181061768 0.0557663895246096 0.0576221268967283
"одна" 0.0522073938721571 0.0528694342246299 0.0768295025289711
"руки" 0.055470355989167 0.0550421506996147 0.0640245854408093
"больно" 0.0619962802231866 0.0470755236246705 0.089634419617133
"идет" 0.0522073938721571 0.0572148671745995 0.0544208976246879
"них" 0.0391555454041179 0.0615603001245691 0.048018439080607
"сударь" 0.0652592423401964 0.0601118224745792 0.0288110634483642
"одно" 0.0685222044572062 0.0586633448245894 0.0288110634483642
"ха" 0.0195777727020589 0.073148121324488 0.00960368781612139
"хочешь" 0.0261036969360786 0.0586633448245894 0.0672258147128497
"всех" 0.0522073938721571 0.0499724789246502 0.0768295025289711
"ль" 0.0130518484680393 0.0753208377994728 0.00320122927204046
"кабанов" 0 0.0782177930994525 0
"кажется" 0.055470355989167 0.062284538949564 0.0160061463602023
"кабанова" 0 0.0774935542744575 0
"панкратьевна" 0.349136946520051 0 0
"федотовна" 0 0.0774935542744575 0
"хе" 0 0.0774935542744575 0
"гордей" 0.0522073938721571 0.0644572554245488 0
"жена" 0.0293666590530884 0.0572148671745995 0.0544208976246879
"люблю" 0.0424185075211277 0.0666299718995336 0
"после" 0.055470355989167 0.0572148671745995 0.0288110634483642
"берет" 0.0391555454041179 0.0572148671745995 0.041615980536526
"какое" 0.0587333181061768 0.0456270459746806 0.0736282732569307
"али" 0.0685222044572062 0.0246241200498276 0.153659005057942
"афоня" 0 0.0745965989744778 0
"своей" 0.0261036969360786 0.0485240012746603 0.089634419617133
"тогда" 0.0619962802231866 0.0477997624496654 0.0576221268967283
"буду" 0.0391555454041179 0.0579391059995944 0.0288110634483642
"душа" 0.130518484680393 0.0347634635997567 0.041615980536526
"садится" 0.0228407348190688 0.0608360612995741 0.0320122927204046
"липочка" 0 0.072423882499493 0
"время" 0.0228407348190688 0.0543179118746198 0.0544208976246879
"денег" 0.0652592423401964 0.0550421506996147 0.00960368781612139
"маменька" 0.0424185075211277 0.0615603001245691 0.00320122927204046
"рисположенский" 0 0.0716996436744981 0
"всем" 0.035892583287108 0.0441785683246907 0.0832319610730521
"глаза" 0.0261036969360786 0.0492482400996553 0.0640245854408093
"друг" 0.0293666590530884 0.0564906283496046 0.0288110634483642
"стало" 0.0489444317551473 0.0528694342246299 0.0256098341763237
"тятенька" 0.0228407348190688 0.0644572554245488 0
"кабы" 0.0456814696381375 0.0514209565746401 0.0320122927204046
"мать" 0.0261036969360786 0.0499724789246502 0.0576221268967283
"пойду" 0.0424185075211277 0.0492482400996553 0.0448172098085665
"руку" 0.0424185075211277 0.052145195399635 0.0320122927204046
"такая" 0.0619962802231866 0.0477997624496654 0.0320122927204046
"фирс" 0 0.0688026883745184 0
"чай" 0.0522073938721571 0.042005851849706 0.0672258147128497
"ноги" 0.0456814696381375 0.0362119412497465 0.0960368781612139
"ступай" 0.091362939276275 0.0449028071496857 0.0128049170881619
"этом" 0.0326296211700982 0.0564906283496046 0.0192073756322428
"вами" 0.0293666590530884 0.0557663895246096 0.0224086049042832
"лет" 0.0880999771592652 0.0449028071496857 0.0128049170881619
"нынче" 0.0424185075211277 0.0535936730496248 0.0192073756322428
"оченно" 0.169674030084511 0.0130362988499087 0.0736282732569307
"этот" 0.0587333181061768 0.0470755236246705 0.0320122927204046
"грех" 0.0228407348190688 0.0506967177496451 0.048018439080607
"дом" 0.0261036969360786 0.0535936730496248 0.0320122927204046
"мало" 0.0522073938721571 0.0427300906747009 0.0544208976246879
"б" 0 0.0651814942495437 0.00320122927204046
"ишь" 0.055470355989167 0.0477997624496654 0.0256098341763237
"над" 0.0228407348190688 0.0427300906747009 0.0800307318010116
"сами" 0.0163148105850491 0.0557663895246096 0.0288110634483642
"скажи" 0.0522073938721571 0.052145195399635 0.00960368781612139
"ох" 0.00652592423401964 0.041281613024711 0.0992381074332544
"подходит" 0.0326296211700982 0.0470755236246705 0.048018439080607
"дома" 0.0261036969360786 0.0550421506996147 0.0128049170881619
"домой" 0.0522073938721571 0.0485240012746603 0.0160061463602023
"жизнь" 0.0163148105850491 0.0557663895246096 0.0192073756322428
"наркис" 0 0.0637330165995539 0
"пожалуй" 0.035892583287108 0.0470755236246705 0.0384147512644856
"свете" 0.0261036969360786 0.0499724789246502 0.0352135219924451
"скрипунов" 0 0 0.281708175939561
"видно" 0.00978888635102946 0.0405573741997161 0.089634419617133
"дочь" 0.035892583287108 0.0434543294996958 0.0512196683526474
"купец" 0.166411067967501 0.0238998812248327 0.00960368781612139
"плачет" 0.0750481286912259 0.0340392247747617 0.0544208976246879
"пойдем" 0.0587333181061768 0.0463512847996755 0.0160061463602023
"сидит" 0.0456814696381375 0.042005851849706 0.048018439080607
"кому" 0.0522073938721571 0.0449028071496857 0.0256098341763237
"молчание" 0.0750481286912259 0.0405573741997161 0.0224086049042832
"бурмистр" 0 0 0.272104488123439
"кулигин" 0 0.0615603001245691 0
"людей" 0.0293666590530884 0.0477997624496654 0.0320122927204046
"другой" 0.0522073938721571 0.042005851849706 0.0320122927204046
"право" 0.00978888635102946 0.0456270459746806 0.0576221268967283
"день" 0.0652592423401964 0.0383846577247313 0.0320122927204046
"хуже" 0.0261036969360786 0.0427300906747009 0.0512196683526474
"даже" 0.0195777727020589 0.0485240012746603 0.0288110634483642
"должно" 0.091362939276275 0.0383846577247313 0.00320122927204046
"прощай" 0.00978888635102946 0.0470755236246705 0.0448172098085665
"стоит" 0.0326296211700982 0.0398331353747212 0.0544208976246879
"дай" 0.0424185075211277 0.041281613024711 0.0352135219924451
"двери" 0.0261036969360786 0.0514209565746401 0.00640245854408093
"народ" 0.0293666590530884 0.0383846577247313 0.0608233561687688
"отчего" 0.035892583287108 0.0463512847996755 0.0192073756322428
"хочет" 0.0326296211700982 0.0405573741997161 0.048018439080607
"два" 0.0587333181061768 0.0383846577247313 0.0288110634483642
"егорушка" 0.159885143733481 0.0224514035748428 0
"кудряш" 0 0.0579391059995944 0
"скажу" 0.0163148105850491 0.0499724789246502 0.0192073756322428
"такие" 0.055470355989167 0.0441785683246907 0.00640245854408093
"были" 0.0522073938721571 0.0391088965497262 0.0288110634483642
"выходит" 0.055470355989167 0.0325907471247719 0.0544208976246879
"слова" 0.0326296211700982 0.0369361800747414 0.0576221268967283
"лазарь" 0 0.0564906283496046 0
"слово" 0.0195777727020589 0.0434543294996958 0.0384147512644856
"весь" 0.0293666590530884 0.042005851849706 0.0320122927204046
"всего" 0.0261036969360786 0.041281613024711 0.0384147512644856
"девушка" 0.0848370150422554 0.0369361800747414 0
"должен" 0.0522073938721571 0.0347634635997567 0.041615980536526
"свое" 0.0326296211700982 0.0383846577247313 0.0448172098085665
"словно" 0.0815740529252455 0.0253483588748226 0.0544208976246879
"самсон" 0 0.0550421506996147 0
"таки" 0.00978888635102946 0.0499724789246502 0.0128049170881619
"колокольцов" 0 0.0543179118746198 0
"нему" 0.0261036969360786 0.0383846577247313 0.0448172098085665
"оно" 0.0293666590530884 0.041281613024711 0.0288110634483642
"пришел" 0.0456814696381375 0.0318665082997769 0.0544208976246879
